2.080100000000000000e+04,9.400000000000000000e+01,9.400000000000000000e+01.1,8.700000000000000000e+07,5.750000000000000000e+05,3.100000000000000000e+01,1.850000000000000000e+02,8.000000000000000000e+01,2.430000000000000000e+02,1.000000000000000000e+00,7.000000000000000000e+00,2.018000000000000000e+03,3.800000000000000000e+01,1.354000000000000000e+03,7.000000000000000000e+00.1,4.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00.1,0.000000000000000000e+00,9.200000000000000000e+01,9.200000000000000000e+01.1,8.100000000000000000e+01,9.100000000000000000e+01,3.300000000000000000e+01,8.000000000000000000e+01.1,8.400000000000000000e+01,9.300000000000000000e+01,8.700000000000000000e+01,8.200000000000000000e+01,8.800000000000000000e+01,9.300000000000000000e+01.1,8.100000000000000000e+01.1,7.700000000000000000e+01,7.200000000000000000e+01,9.200000000000000000e+01.2,9.100000000000000000e+01.1,9.200000000000000000e+01.3,9.000000000000000000e+01,9.600000000000000000e+01,6.300000000000000000e+01,9.400000000000000000e+01.2,9.500000000000000000e+01,9.200000000000000000e+01.4,8.000000000000000000e+01.2,9.200000000000000000e+01.5,6.300000000000000000e+01.1,2.900000000000000000e+01,9.400000000000000000e+01.3,8.500000000000000000e+01,8.500000000000000000e+01.1,8.600000000000000000e+01,2.200000000000000000e+01,3.100000000000000000e+01.1,2.300000000000000000e+01,7.000000000000000000e+00.2,1.100000000000000000e+01,1.500000000000000000e+01,1.400000000000000000e+01,1.100000000000000000e+01.1,1.000000000000000000e+00.1
201379.0,79.0,80.0,11500000.0,60000.0,26.0,179.0,73.0,110227.0,1.0,77.0,2021.0,45.0,0.0,0.0,4.0,3.0,1.0,0.0,78.0,68.0,79.0,78.0,21.0,62.0,86.0,69.0,63.0,77.0,61.0,78.0,83.0,48.0,79.0,80.0,77.0,78.0,75.0,77.0,69.0,73.0,59.0,65.0,67.0,64.0,48.0,22.0,76.0,82.0,63.0,36.0,13.0,16.0,12.0,9.0,10.0,8.0,13.0,8.0,0.0
171801.0,68.0,68.0,625000.0,7000.0,30.0,185.0,72.0,1892.0,1.0,4.0,2017.0,38.0,0.0,0.0,3.0,2.0,1.0,0.0,51.0,53.0,57.0,58.0,69.0,76.0,50.0,52.0,64.0,63.0,30.0,56.0,53.0,64.0,64.0,61.0,49.0,52.0,52.0,59.0,66.0,71.0,80.0,74.0,77.0,47.0,75.0,75.0,45.0,47.0,41.0,62.0,67.0,72.0,62.0,11.0,12.0,9.0,11.0,9.0,0.0
219840.0,67.0,75.0,925000.0,5000.0,23.0,187.0,77.0,468.0,2.0,3.0,2018.0,45.0,0.0,0.0,2.0,2.0,1.0,0.0,67.0,36.0,58.0,57.0,66.0,73.0,70.0,29.0,59.0,61.0,31.0,54.0,52.0,56.0,58.0,65.0,61.0,71.0,53.0,65.0,44.0,50.0,55.0,76.0,75.0,33.0,70.0,68.0,47.0,44.0,40.0,45.0,66.0,68.0,61.0,14.0,15.0,12.0,9.0,16.0,0.0
235184.0,59.0,66.0,230000.0,4000.0,21.0,184.0,84.0,1880.0,1.0,35.0,2020.0,83.0,0.0,0.0,3.0,2.0,1.0,0.0,52.0,63.0,41.0,49.0,27.0,64.0,31.0,70.0,62.0,54.0,49.0,40.0,33.0,29.0,26.0,62.0,50.0,54.0,52.0,46.0,54.0,63.0,60.0,56.0,71.0,56.0,58.0,21.0,51.0,45.0,46.0,49.0,25.0,23.0,21.0,9.0,13.0,14.0,9.0,13.0,0.0
235985.0,63.0,69.0,400000.0,3000.0,24.0,182.0,78.0,111715.0,1.0,4.0,2020.0,60.0,0.0,0.0,2.0,2.0,1.0,0.0,60.0,33.0,32.0,42.0,62.0,66.0,28.0,34.0,70.0,43.0,25.0,33.0,29.0,20.0,29.0,52.0,66.0,55.0,41.0,55.0,60.0,38.0,75.0,60.0,68.0,30.0,66.0,65.0,24.0,25.0,32.0,38.0,61.0,58.0,63.0,11.0,11.0,13.0,12.0,8.0,0.0
215401.0,67.0,71.0,925000.0,3000.0,23.0,185.0,75.0,1848.0,2.0,14.0,2017.0,47.0,0.0,0.0,3.0,2.0,1.0,0.0,67.0,57.0,67.0,64.0,58.0,68.0,64.0,55.0,52.0,72.0,48.0,62.0,59.0,61.0,69.0,68.0,65.0,68.0,61.0,62.0,58.0,65.0,62.0,70.0,70.0,57.0,61.0,62.0,62.0,64.0,53.0,65.0,54.0,61.0,55.0,15.0,13.0,11.0,11.0,12.0,0.0
212926.0,59.0,65.0,180000.0,1000.0,24.0,176.0,71.0,110765.0,1.0,6.0,2022.0,167.0,0.0,0.0,5.0,3.0,1.0,0.0,60.0,47.0,58.0,58.0,56.0,54.0,55.0,44.0,56.0,60.0,44.0,54.0,43.0,41.0,55.0,55.0,48.0,69.0,71.0,64.0,78.0,54.0,77.0,66.0,45.0,44.0,54.0,54.0,43.0,68.0,57.0,63.0,53.0,59.0,55.0,11.0,10.0,16.0,15.0,11.0,0.0
152926.0,70.0,70.0,875000.0,6000.0,33.0,184.0,80.0,76.0,2.0,28.0,2017.0,18.0,0.0,0.0,4.0,3.0,1.0,0.0,57.0,66.0,69.0,72.0,40.0,68.0,66.0,70.0,52.0,68.0,67.0,71.0,65.0,73.0,65.0,77.0,59.0,55.0,73.0,61.0,65.0,60.0,56.0,62.0,80.0,62.0,49.0,55.0,64.0,78.0,68.0,51.0,21.0,46.0,34.0,13.0,14.0,15.0,11.0,13.0,0.0
235037.0,61.0,76.0,400000.0,3000.0,18.0,182.0,80.0,229.0,1.0,41.0,2019.0,117.0,0.0,0.0,3.0,2.0,1.0,0.0,79.0,32.0,48.0,63.0,58.0,65.0,51.0,24.0,57.0,56.0,29.0,63.0,31.0,27.0,46.0,61.0,78.0,80.0,73.0,49.0,63.0,46.0,72.0,71.0,62.0,33.0,62.0,53.0,48.0,42.0,32.0,46.0,58.0,60.0,61.0,14.0,15.0,7.0,12.0,8.0,0.0
188929.0,66.0,66.0,575000.0,4000.0,29.0,176.0,75.0,2013.0,1.0,18.0,2017.0,7.0,0.0,0.0,3.0,2.0,1.0,0.0,61.0,65.0,67.0,67.0,45.0,63.0,65.0,62.0,38.0,66.0,63.0,66.0,70.0,73.0,67.0,68.0,65.0,58.0,67.0,62.0,70.0,68.0,66.0,63.0,64.0,69.0,62.0,61.0,62.0,66.0,61.0,67.0,35.0,48.0,45.0,10.0,13.0,13.0,11.0,8.0,0.0
